,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
10224_at,0.000952462897525483,0.0009525397242979715,0.0009525224882991349,0.0009524670207739769,0.0009525214956960833,0.2144256444603299,0.20937999487649245,0.0009525598302915398,0.49856647981365326,0.07191280739264028
10225_at,0.26780639113490723,0.0013335787229244885,0.4552853624966714,0.08829646276616397,0.0013334545746631742,0.001333597523500995,0.0013340132030604374,0.0013334637417020112,0.0013335766945485545,0.1806100991418578
10227_at,0.003448771800057039,0.0034489927477592357,0.3452275277466192,0.003449234966161426,0.6271820526756923,0.003448712610077314,0.003448444920122486,0.0034485257105496695,0.0034488982073886945,0.0034488386155726663
10228_at,0.001961029199398838,0.0832272091770624,0.12300361513507331,0.0019609955683316583,0.001961761731769704,0.0019610382578093646,0.24992697585272758,0.5320754349886623,0.001961045092600072,0.001960894996564933
10231_at,0.033335917135242525,0.033335580299177194,0.0333366411278115,0.03333441365150809,0.6999769912434084,0.03333636142123526,0.033336719387563565,0.033335460879246215,0.03333496853814229,0.0333369463166649
10235_at,0.0016130555611731376,0.0016134187102420513,0.0016134064642097825,0.3179445348048843,0.0016132166980274251,0.6691490611674733,0.0016132560394824607,0.001613353358632771,0.0016135025746694513,0.001613194621205297
10238_at,0.24882055134928516,0.19475615804239332,0.35026447633643837,0.14640026565343153,0.05413928093087646,0.0011238838285556262,0.0011237610594263218,0.0011237723129782393,0.0011238777934341612,0.0011239726931807903
10241_at,0.0019232194789026253,0.0019231697006648648,0.001923251527347694,0.0019231316467435066,0.0019236842120332795,0.18450963080490726,0.8001038328939996,0.001923553418445829,0.0019232176197557106,0.0019233086971995347
10243_at,0.0010754174479954432,0.990321616269598,0.0010754860804817804,0.0010753948138226476,0.0010753406631917014,0.0010754110381043889,0.0010753208161115326,0.0010753402662583486,0.0010753350220664326,0.0010753375823699368
10244_at,0.0015626513555819768,0.0015626062544470789,0.0015626310717503538,0.0015626749491566391,0.21261849177778785,0.0015625748255017331,0.0015626443031048103,0.774880543514106,0.0015626425336850182,0.0015625394148785306
10245_at,0.0017857402285898615,0.0017858123936680445,0.0017857906099848389,0.0017858481222516125,0.0017860177561116765,0.0017857540980481769,0.0017859190334624322,0.9839275242276467,0.0017858393690991627,0.0017857541611373169
10247_at,0.0014927092117639777,0.21498342117083116,0.0014926337302330317,0.0014926945947802898,0.0014929207175626996,0.001492579087314952,0.0014927102777399835,0.7730751645314743,0.0014925907076405456,0.0014925759706591226
10253_at,0.0018185382595360391,0.041323168816942556,0.0018184893136053383,0.0018184075468303217,0.0018188393681789474,0.0018183023327591958,0.27865039661611307,0.0018186377788012604,0.6672968888965769,0.001818331070656374
10254_at,0.001370038030416542,0.0013702090443479871,0.29800037877543417,0.001370496639356113,0.0013703956962582424,0.001370082571521876,0.6910382292567409,0.0013701843328097728,0.001370025652225857,0.001369960000888728
10255_at,0.0034488190762310862,0.003448634865302132,0.0034483725802347447,0.0034484931571093476,0.20840059347939177,0.0034487565875595486,0.7640108181996167,0.0034485301881791814,0.0034484357126926,0.003448546153682903
