,labels,probabilities
10922_at,4,0.9446239188616045
10925_at,6,0.9903142909018955
10930_at,4,0.9658783578982292
10932_at,4,0.9986375670548815
10933_at,3,0.9988111381883309
10934_at,5,0.809998810310158
10935_at,2,0.7639140718050843
10936_at,0,0.9964283195042983
10937_at,5,0.980064866706876
10938_at,2,0.9667837036160574
10940_at,7,0.9987657245453181
10942_at,2,0.98951780228352
10943_at,2,0.9744328563856501
10945_at,6,0.5464380309481183
10947_at,0,0.9949661727736475
10949_at,2,0.7019291868272661
10953_at,3,0.9972880165856953
10954_at,0,0.9887237409350588
10955_at,0,0.9440659872113061
10956_at,0,0.9935945621112084
10957_at,5,0.952750018443141
10960_at,5,0.4303812069728115
10961_at,7,0.9994350121104453
10962_at,3,0.9978996191711652
10963_at,3,0.9937811112566767
10964_at,7,0.9977191767410362
10965_at,4,0.9706492281489327
10968_at,4,0.67886511067028
10970_at,0,0.9190213245480731
10973_at,4,0.9958802762351316
10974_at,5,0.5946368763150061
10975_at,6,0.988416098808069
10976_at,0,0.9998708371022106
10977_at,5,0.5171115382210901
10978_at,6,0.9760600080425228
10979_at,6,0.9780676466012757
10981_at,6,0.9826889817388083
10985_at,6,0.9187076411896712
10989_at,6,0.7104518974783958
10991_at,0,0.8784517940751563
10992_at,3,0.947167987497051
10993_at,3,0.841899654672627
10996_at,2,0.7788833904154882
10997_at,2,0.9190140909586271
11003_at,6,0.9900535866876082
11004_at,7,0.9999161962386603
11007_at,4,0.9839057201614485
11008_at,5,0.9554817102828468
11009_at,6,0.6972507556125208
11010_at,0,0.9937848887932442
11011_at,0,0.9971541464078131
11016_at,2,0.6895538762933773
11017_at,2,0.8254019416053807
11022_at,6,0.5403214143995289
11024_at,0,0.9990876955374328
11030_at,4,0.9975124825789587
11031_s_at,2,0.7678312202613127
11032_at,3,0.9969172007083159
11033_at,4,0.5388444889031208
11034_at,0,0.999953217049016
11035_at,2,0.6128115751635302
11041_at,6,0.7104862799061092
11042_at,0,0.9738708376242485
11044_at,6,0.777618494738629
11045_at,2,0.7685525476953126
11046_at,4,0.9920718185574479
11047_at,4,0.9920535427447104
11048_at,7,0.9970966779464148
11050_at,7,0.9794629346173654
11051_at,6,0.9826219775790453
11052_at,6,0.9926543242076652
11053_at,6,0.6752285826524633
11056_at,3,0.930681162436084
11058_at,7,0.9919992746285028
11059_at,2,0.9433630541560456
11060_at,2,0.98049761224074
11061_g_at,2,0.7966790803476265
11062_at,5,0.9970810166007164
11063_at,0,0.9965620058624225
11065_at,4,0.9881777945444503
11066_at,2,0.8643832745032988
11067_at,7,0.9995991810975459
11068_at,6,0.9915087588791545
11071_at,2,0.8277370269259327
11076_at,4,0.9716199274924551
11077_at,3,0.880124335319778
11078_at,6,0.9805263261836876
11079_at,2,0.6653519613352628
11083_at,7,0.9898892294624866
11084_at,7,0.9985930975321349
11088_at,0,0.9999576288338385
11089_at,2,0.9893636509869136
11091_at,5,0.9697023259961678
11094_at,7,0.9987321444540977
11098_at,2,0.7681819093296178
11100_at,4,0.9980306091529748
11104_at,0,0.9993009376152266
11106_at,7,0.9989777680097439
11110_at,5,0.9978089309014951
11113_at,4,0.9944894203703419
11114_at,6,0.9884591059319121
11118_at,6,0.9890520204123364
11119_at,2,0.658079184044016
11122_at,3,0.9955575723946739
11124_at,0,0.9992467212454061
11125_at,7,0.6018972547866406
11127_at,0,0.9969678732780999
11131_at,7,0.9998482037145408
11133_at,0,0.9837965018604267
11137_at,3,0.9286391065192127
11138_at,3,0.9516737283186495
11139_at,3,0.9668928557310681
11141_at,2,0.5890131736315183
11143_at,7,0.9978637092686565
11145_at,7,0.9996822439671217
11149_at,6,0.9186568700998147
11150_at,7,0.9997541868495653
11152_g_at,4,0.9892207793548834
11153_at,4,0.9872514146437259
11156_s_at,3,0.9970546558966604
11157_at,2,0.5582709860794505
11158_i_at,3,0.9871670139074826
11159_s_at,3,0.9794746123094956
11161_at,3,0.9919031000277716
11162_at,3,0.988872221538521
11163_at,2,0.8826007730184401
11164_at,5,0.579633326177097
11169_at,2,0.6580142822103419
11174_at,4,0.9381761537381955
11175_at,4,0.8308592425327979
11177_at,4,0.9674899239828916
11178_at,2,0.9453354259880089
11180_at,7,0.9978299553305288
11183_at,4,0.9970518852638155
11184_at,4,0.9126434929999396
11187_at,2,0.9739219862767415
11190_at,0,0.9983248316387459
11193_at,7,0.9998203512734559
11195_at,4,0.9223103293983737
11199_at,7,0.9993975859551736
11200_at,7,0.9819237806218323
11203_i_at,3,0.9997818478236549
11204_s_at,3,0.9997596164332425
11205_i_at,3,0.9997069137062711
11206_f_at,3,0.998579652451969
11213_at,6,0.6494785709518314
11216_at,4,0.8827459858354503
11218_at,3,0.9344192142875142
11221_at,2,0.6439794427984257
11225_at,7,0.9668488108155335
11226_at,3,0.9983044284879433
11227_at,4,0.9978612106923637
11228_at,0,0.9999325647529395
11229_at,3,0.7678218966536601
11234_at,3,0.9959086440130753
11236_at,3,0.9998576297570669
11237_at,3,0.9966312813977924
11248_s_at,3,0.997685469318174
11249_f_at,2,0.5450080967141216
11251_s_at,5,0.6791045108642062
